Date,AMZN,SP500,TSLA
2012-08-01,-0.520299534,-0.29072066,-4.36096988
2012-08-02,-0.553337135,-0.753497711,-0.573368841
2012-08-03,1.785998439,1.885827432,4.384886883
2012-08-06,-0.418218963,0.232382083,3.601123512
2012-08-07,1.092100057,0.509129762,6.769254702
2012-08-08,-0.926058168,0.061816797,-3.910417772
2012-08-09,-0.136900669,0.041086018,1.093754033
2012-08-10,-0.561558174,0.218303676,1.785761273
2012-08-13,-0.133579404,-0.125569894,4.025770109
2012-08-14,0.321843098,-0.013116785,-5.77843923
2012-08-15,1.797439599,0.113625149,-0.068278055
2012-08-16,1.724277352,0.707240707,3.015002447
2012-08-17,-0.15774464,0.186736975,-0.962006676
2012-08-20,-0.340831716,-0.00236406,-1.680393625
2012-08-21,-0.37540708,-0.350613261,-1.364989695
2012-08-22,1.512582599,0.022391167,2.844510105
2012-08-23,-0.784946729,-0.810801317,2.570703788
2012-08-24,1.864462067,0.643097477,-4.08521265
2012-08-27,-0.7436806,-0.049214849,-4.082500822
2012-08-28,0.893528634,-0.081152233,1.297734747
2012-08-29,0.409269413,0.084125295,-0.981017385
2012-08-30,-0.365159279,-0.78394436,-0.00030137
2012-08-31,0.828869073,0.505773034,0.386165995
2012-09-04,-0.157538915,-0.116992724,-1.341683153
2012-09-05,-0.672206871,-0.107097138,-0.713543758
2012-09-06,2.073784335,2.022707107,2.159511652
2012-09-07,#VALUE!,#VALUE!,#VALUE!
2012-09-10,-0.794505123,-0.616954546,-6.984776295
2012-09-11,-0.554167368,0.312703872,1.558548395
2012-09-12,-0.015945023,0.20874919,1.711580663
2012-09-13,1.787012397,1.617515801,4.155421259
2012-09-14,0.394732981,0.394839605,3.039879988
2012-09-17,-1.259746808,-0.313232318,6.835375514
2012-09-18,0.290001993,-0.128333478,-3.757760459
2012-09-19,1.125727217,0.118211233,-0.929916827
2012-09-20,-0.333320497,-0.054389365,-0.484563817
2012-09-21,-1.289196656,-0.0078336,-2.88953714
2012-09-24,-1.04270166,-0.223788927,2.109230751
2012-09-25,-0.922910112,-1.056040323,-10.29745609
